id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
;He Wasn't Man Enough;Toni Braxton;261933;0.739;0.947;11;-1.916;0;0.0411;0.00916;3.14E-05;0.326;0.766;88.009
;Bounce With Me (feat. Xscape) - Edited Album Version;Bow Wow;175893;0.852;0.75;8;-5.153;1;0.168;0.434;0;0.265;0.934;72.016
;Forgot About Dre;Dr. Dre;222293;0.924;0.74;8;-1.299;1;0.0774;0.0827;0;0.163;0.621;133.974
;Hot Boyz;Missy Elliott;215466;0.727;0.445;1;-11.241;1;0.291;0.339;0;0.18;0.527;81.125
;Show Me the Meaning of Being Lonely;Backstreet Boys;234960;0.63;0.625;6;-5.088;0;0.0252;0.231;0;0.0765;0.683;167.998
;Gotta Tell You;Samantha Mumba;201946;0.729;0.632;0;-8.75;0;0.0279;0.191;0;0.166;0.774;109.981
;Case Of The Ex (Whatcha Gonna Do);MÃ½a;236906;0.772;0.688;1;-4.715;0;0.0405;0.0548;9.79E-05;0.0725;0.348;98
;Shackles (Praise You);Mary Mary;198346;0.779;0.834;7;-2.773;1;0.162;0.0343;0;0.0886;0.8;100.46
;Wifey;Next;243666;0.829;0.652;7;-8.693;0;0.108;0.067;0;0.0812;0.726;99.581
;Doesn't Really Matter;Janet Jackson;265026;0.771;0.796;5;-3.081;0;0.076;0.0993;0.00278;0.0981;0.801;99.316
;She Bangs - English Version;Ricky Martin;280626;0.63;0.95;1;-4.012;1;0.0806;0.000915;6.51E-06;0.373;0.858;143.866
;He Can't Love U;Jagged Edge;244053;0.721;0.836;8;-3.972;0;0.206;0.112;0;0.235;0.508;126.279
;Incomplete;Sisqo;274226;0.746;0.443;1;-7.693;0;0.0771;0.282;0;0.14;0.272;119.311
;I Just Wanna Love U (Give It 2 Me);JAY-Z;227866;0.8;0.922;4;-5.125;0;0.24;0.301;9.31E-06;0.0352;0.801;98.631
;Thank God I Found You (feat. Joe & 98Â°);Mariah Carey;257360;0.348;0.532;10;-5.882;1;0.0331;0.592;0;0.106;0.148;129.297
;Who Let The Dogs Out;Baha Men;198400;0.869;0.887;0;-4.505;1;0.0993;0.0605;0;0.148;0.784;129.221
;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";Donell Jones;243733;0.854;0.543;8;-6.166;0;0.0844;0.0402;5.73E-05;0.0419;0.868;103.032
;Can't Fight The Moonlight;LeAnn Rimes;215506;0.628;0.834;6;-6.341;0;0.0497;0.403;0;0.051;0.626;97.865
;Go Let It Out;Oasis;278666;0.408;0.849;2;-5.631;1;0.0333;0.0136;2.51E-05;0.56;0.628;84.192
;Hey Baby (Radio Mix);DJ Ã–tzi;219240;0.666;0.968;10;-3.196;1;0.046;0.123;0;0.347;0.834;135.099
;Most Girls;P!nk;298960;0.742;0.732;2;-6.046;0;0.0311;0.0424;0.00446;0.101;0.694;97.922
;Against All Odds (Take A Look at Me Now) (feat. Westlife);Mariah Carey;199480;0.471;0.514;1;-5.599;1;0.0315;0.584;0;0.103;0.373;117.338
;Fill Me In;Craig David;257200;0.682;0.744;8;-6.981;1;0.0365;0.376;0.00951;0.06;0.827;132.493
;I Turn to You;Christina Aguilera;273706;0.599;0.47;1;-8.356;1;0.0376;0.38;0;0.111;0.298;127.177
;American Pie;Madonna;273533;0.631;0.734;5;-7.48;0;0.036;0.348;0;0.135;0.591;124.036
;Otherside;Red Hot Chili Peppers;255373;0.458;0.795;0;-3.265;1;0.0574;0.00316;0.000202;0.0756;0.513;123.229
;I Like It;Sammie;251040;0.826;0.656;9;-8.529;1;0.0617;0.0101;0.000113;0.0272;0.852;129.963
;7 Days;Craig David;235133;0.659;0.812;4;-7.499;0;0.0487;0.23;0;0.0951;0.888;83.014
;Maria Maria (feat. The Product G&B);Santana;261973;0.777;0.601;2;-5.931;1;0.126;0.0406;0.00201;0.0348;0.68;97.911
;Don't Think I'm Not;Kandi;243533;0.859;0.622;11;-8.196;1;0.0445;0.0661;0;0.0394;0.433;134.007
;There You Go;P!nk;202800;0.822;0.847;10;-6.729;0;0.0917;0.0854;0;0.0452;0.668;107.908
;Shalala Lala;Vengaboys;214819;0.751;0.901;2;-5.802;1;0.0328;0.0504;0.00308;0.0395;0.973;124.017
;Life Is A Rollercoaster;Ronan Keating;234826;0.655;0.791;0;-8.923;1;0.0302;0.1;0.000124;0.334;0.862;118.981
;Don't Call Me Baby;Madison Avenue;228140;0.808;0.982;3;-6.588;0;0.0311;0.0585;0.00689;0.35;0.961;124.999
;Jumpin', Jumpin';Destiny's Child;230200;0.771;0.685;1;-4.639;1;0.0567;0.00543;0.00157;0.0537;0.683;88.997
;That's the Way It Is;CÃ©line Dion;241373;0.634;0.886;9;-5.424;1;0.0434;0.154;0;0.118;0.577;93.04
;Kryptonite;3 Doors Down;233933;0.545;0.865;11;-5.708;0;0.0286;0.00664;1.10E-05;0.168;0.543;99.009
;I Wish;Carl Thomas;226760;0.736;0.666;1;-4.929;1;0.0337;0.0593;3.82E-05;0.107;0.224;89.824
;Shake Ya Ass;Mystikal;256973;0.914;0.607;7;-5.658;1;0.32;0.0626;0;0.0515;0.666;98.054
;Hemorrhage (In My Hands);Fuel;236866;0.313;0.831;1;-3.894;1;0.0404;0.000127;0.000341;0.24;0.332;152.034
;Where I Wanna Be;Donell Jones;253626;0.664;0.396;5;-9.131;0;0.0298;0.52;0;0.268;0.453;102.053
;Crash and Burn;Savage Garden;281466;0.581;0.607;4;-8.458;1;0.028;0.189;1.60E-06;0.0882;0.213;102.03
;My Love;Westlife;231760;0.491;0.593;0;-5.975;1;0.0255;0.098;0;0.257;0.328;144.142
;Pure Shores;All Saints;268746;0.631;0.664;6;-9.197;1;0.0242;0.0498;0.00042;0.0696;0.407;100.618
;Independent Women, Pt. 1;Destiny's Child;221133;0.73;0.602;6;-3.782;0;0.206;0.362;3.69E-06;0.169;0.927;97.954
;It's Gonna Be Me;*NSYNC;191040;0.644;0.874;0;-4.666;0;0.0801;0.0459;2.24E-06;0.0584;0.882;165.09
;Bag Lady;Erykah Badu;348893;0.724;0.416;5;-8.964;0;0.0841;0.365;0;0.0969;0.578;151.181
;You Sang To Me;Marc Anthony;347106;0.578;0.894;10;-5.42;1;0.0296;0.0103;2.66E-06;0.216;0.741;165.98
;Bent;Matchbox Twenty;256133;0.518;0.83;6;-6.814;0;0.0386;0.0404;3.85E-06;0.375;0.527;95.468
;Rise;Gabrielle;219093;0.558;0.481;8;-9.487;1;0.026;0.315;8.83E-06;0.09;0.631;144.673
;Shape of My Heart;Backstreet Boys;230093;0.575;0.786;9;-4.353;1;0.0296;0.252;0;0.159;0.518;96.102
;With Arms Wide Open;Creed;274800;0.41;0.539;0;-8.412;1;0.0302;0.00425;0.00089;0.117;0.141;138.852
;Breathless;The Corrs;207506;0.607;0.82;11;-7.754;1;0.0597;0.0541;6.80E-05;0.269;0.768;126.988
;I Wanna Know;Joe;296693;0.725;0.487;8;-5.959;0;0.0368;0.26;1.09E-05;0.431;0.599;136.086
;Teenage Dirtbag;Wheatus;241666;0.625;0.85;4;-3.904;1;0.0495;0.346;0.000233;0.174;0.633;94.661
;Come on over Baby (All I Want Is You) - Radio Version;Christina Aguilera;203333;0.829;0.915;8;-3.205;1;0.106;0.226;1.25E-05;0.246;0.779;118.903
;Higher;Creed;316733;0.459;0.83;2;-6.254;1;0.0364;5.15E-05;0.00014;0.206;0.431;155.827
;Lucky;Britney Spears;206226;0.765;0.791;8;-5.707;1;0.0317;0.262;0.000154;0.0669;0.966;95.026
;Country Grammar (Hot Shit);Nelly;287000;0.865;0.664;2;-6.822;1;0.108;0.00689;0;0.142;0.565;162.831
;It Wasn't Me;Shaggy;227600;0.853;0.606;0;-4.596;1;0.0713;0.0561;0;0.313;0.654;94.759
;Survivor;Destiny's Child;254026;0.514;0.911;1;-2.027;0;0.41;0.0559;0;0.775;0.619;161.109
;Stan;Eminem;404106;0.78;0.768;6;-4.325;0;0.238;0.0371;2.34E-06;0.518;0.507;80.063
;Can't Get You out of My Head;Kylie Minogue;230640;0.766;0.563;9;-7.516;0;0.0339;0.0263;0.683;0.115;0.964;126.007
;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";Christina Aguilera;264893;0.76;0.801;5;-3.769;1;0.0534;0.0144;1.49E-05;0.665;0.653;109.919
;I'm Like A Bird;Nelly Furtado;243160;0.622;0.608;10;-5.085;1;0.036;0.138;5.38E-06;0.273;0.607;89.661
;Whenever, Wherever;Shakira;196160;0.794;0.832;1;-4.862;0;0.0407;0.237;1.14E-05;0.203;0.871;107.657
;The Middle;Jimmy Eat World;165853;0.643;0.849;2;-5.428;1;0.0526;0.0371;0;0.058;0.903;162.152
;Drops of Jupiter (Tell Me);Train;259933;0.481;0.638;0;-5.862;1;0.0276;0.153;0;0.154;0.497;79.064
;It's Raining Men;Geri Halliwell;254640;0.637;0.929;5;-6.03;0;0.0447;0.063;0.00796;0.318;0.604;136.482
;Hit 'Em Up Style (Oops!);Blu Cantrell;250706;0.667;0.773;5;-4.983;0;0.0586;0.201;0;0.404;0.667;89.976
;I'm a Slave 4 U;Britney Spears;203600;0.847;0.843;5;-3.579;0;0.106;0.415;0.000134;0.107;0.963;110.027
;In Your Eyes;Kylie Minogue;197826;0.689;0.894;6;-6.342;0;0.0672;0.133;4.72E-05;0.0681;0.709;123.971
;One Minute Man (feat. Ludacris);Missy Elliott;252986;0.622;0.669;9;-8.419;1;0.329;0.0266;2.97E-06;0.152;0.57;93.839
;Family Affair;Mary J. Blige;265866;0.911;0.551;8;-3.75;0;0.0449;0.132;4.12E-05;0.0863;0.969;92.887
;We Come 1 - Radio Edit;Faithless;222435;0.645;0.903;5;-10.587;0;0.0441;0.00188;0.799;0.147;0.61;135.977
;Rollin' (Air Raid Vehicle);Limp Bizkit;213760;0.603;0.933;1;-3.358;1;0.171;0.00591;0;0.206;0.709;96.306
;Something;Lasgo;220973;0.643;0.981;7;-6.644;0;0.0439;0.0271;8.93E-05;0.11;0.38;140.01
;Rapture (feat.Nadia Ali);iio;253586;0.661;0.855;8;-8.403;1;0.0377;0.0722;0.0185;0.199;0.601;123.943
;What Took You So Long?;Emma Bunton;241000;0.668;0.772;9;-5.4;0;0.0307;0.123;0;0.341;0.911;118.011
;It's Over Now;112;264933;0.66;0.71;1;-4.541;1;0.0409;0.0106;7.01E-06;0.0736;0.233;97.988
;All Rise;Blue;223546;0.721;0.737;5;-2.734;0;0.0324;0.121;0;0.165;0.931;97.996
;Irresistible;Jessica Simpson;194026;0.657;0.965;8;-2.771;0;0.0556;0.0285;8.84E-05;0.0552;0.669;93.013
;Butterfly;Crazy Town;216733;0.736;0.811;9;-4.17;0;0.081;0.00132;0.000142;0.107;0.609;103.502
;You Rock My World;Michael Jackson;337733;0.854;0.673;4;-3.132;0;0.185;0.038;0.000227;0.255;0.955;95
;Let Me Blow Ya Mind;Eve;230133;0.908;0.557;8;-4.243;0;0.107;0.242;0;0.0709;0.897;90.032
;Ain't It Funny;Jennifer Lopez;246160;0.707;0.869;5;-4.525;0;0.0481;0.104;0.000121;0.0813;0.621;99.825
;Another Day in Paradise - R&B-Version;Brandy;271626;0.7;0.787;6;-5.176;0;0.0327;0.00666;3.68E-05;0.0724;0.556;102.043
;How You Remind Me;Nickelback;223840;0.446;0.764;10;-5.042;1;0.033;0.00135;0;0.099;0.543;172.094
;One More Time;Daft Punk;320357;0.613;0.697;2;-8.618;1;0.133;0.0194;0;0.332;0.476;122.746
;Ms. Jackson;Outkast;270506;0.843;0.806;4;-5.946;0;0.269;0.143;0;0.0771;0.613;94.948
;Everytime You Need Me - Radio Version;Fragma;213346;0.682;0.917;11;-5.459;0;0.0318;0.15;0.0676;0.34;0.79;137.029
;Loverboy;Mariah Carey;229173;0.721;0.79;1;-4.125;1;0.124;0.183;0;0.1;0.821;103.141
;Thank You;Dido;218360;0.725;0.583;1;-9.942;0;0.0427;0.3;0.000238;0.0665;0.762;79.984
;Stutter (feat. Mystikal) - Double Take Remix;Joe;213026;0.767;0.759;6;-6.516;1;0.117;0.0513;0;0.31;0.677;89.989
;Youth of the Nation;P.O.D.;256240;0.563;0.86;8;-7.533;1;0.0621;0.00834;0.0106;0.39;0.517;97.867
;Play;Jennifer Lopez;211493;0.775;0.729;1;-4.229;0;0.162;0.0303;0.00247;0.0361;0.895;104.719
;Get Ur Freak On;Missy Elliott;211120;0.797;0.75;0;-9.369;1;0.247;0.533;0.108;0.095;0.74;177.87
;Nobody Wants to Be Lonely (with Christina Aguilera);Ricky Martin;252706;0.635;0.854;10;-5.02;0;0.0612;0.00579;0.0083;0.0623;0.59;100.851
;AM To PM;Christina Milian;231213;0.872;0.868;10;-3.036;0;0.12;0.153;2.26E-05;0.843;0.822;105.005
;Another Chance;Roger Sanchez;452906;0.61;0.82;3;-10.029;1;0.0312;0.000211;0.146;0.138;0.45;127.993
;Clint Eastwood;Gorillaz;340920;0.663;0.694;10;-8.627;0;0.171;0.0253;0;0.0698;0.525;167.953
;Until The End Of Time;2Pac;266506;0.757;0.706;8;-6.665;1;0.203;0.0267;0;0.197;0.375;96.976
;Stranger in My House;Tamia;285386;0.676;0.601;0;-4.905;1;0.0297;0.103;0;0.147;0.206;119.94
;No More Drama;Mary J. Blige;326240;0.653;0.837;6;-6.818;0;0.124;0.534;7.12E-05;0.0784;0.64;97.914
;Love Don't Cost a Thing;Jennifer Lopez;221226;0.786;0.842;4;-5.115;0;0.0707;0.00305;3.54E-06;0.473;0.685;97.577
;Little L;Jamiroquai;295400;0.878;0.724;10;-5.373;0;0.129;0.168;0.0116;0.133;0.904;121.906
;Missing You;Case;284666;0.612;0.579;1;-6.417;0;0.0553;0.285;0;0.0556;0.716;86.31
;Peaches & Cream;112;193093;0.677;0.52;4;-6.255;0;0.334;0.00277;0;0.0532;0.768;203.862
;Let's Dance - Radio Edit;Five;218626;0.631;0.821;4;-7.853;0;0.0867;0.00876;0.000247;0.293;0.547;118.007
;Touch Me (Radio Edit) [feat. Cassandra];Rui Da Silva;213133;0.464;0.922;0;-8.399;1;0.0638;0.124;0.227;0.0546;0.695;129.078
;Smooth Criminal;Alien Ant Farm;209266;0.653;0.964;9;-4.261;0;0.0582;0.00316;0.00512;0.144;0.87;126.928
;Music (feat. Marvin Gaye);Erick Sermon;223133;0.897;0.466;10;-9.053;0;0.203;0.187;1.35E-06;0.0757;0.884;100.01
;Purple Pills;D12;304506;0.78;0.634;1;-5.941;1;0.16;0.0199;2.98E-05;0.29;0.754;125.25
;Pop Ya Collar - Radio Edit;Usher;210813;0.888;0.8;5;-3.944;0;0.0946;0.0901;2.12E-05;0.229;0.866;106.957
;Don't Tell Me;Madonna;280973;0.699;0.618;7;-7.338;1;0.0594;0.0502;0.000925;0.0914;0.679;99.965
;If You Come Back;Blue;207560;0.582;0.707;10;-4.487;1;0.0319;0.0822;0;0.0467;0.701;78.375
;Eternal Flame - Single Version;Atomic Kitten;195506;0.578;0.581;0;-6.867;1;0.0318;0.0658;0.0042;0.0674;0.408;83.293
;Where the Party At (feat. Nelly);Jagged Edge;232573;0.596;0.661;5;-6.239;0;0.226;0.31;0;0.0847;0.86;129.491
;Because I Got High;Afroman;197760;0.802;0.341;7;-8.56;1;0.488;0.169;0;0.0783;0.849;166.01
;Don't Stop Movin';S Club 7;233626;0.822;0.672;7;-6.133;1;0.0329;0.0285;0;0.213;0.91;117.033
;Fill Me In;Craig David;257200;0.682;0.744;8;-6.981;1;0.0365;0.376;0.00951;0.06;0.827;132.493
;Turn Off The Light;Nelly Furtado;276106;0.587;0.679;2;-6.26;1;0.0927;0.0839;0.000316;0.413;0.65;180.184
;Starlight - Radio Edit;The Supermen Lovers;234400;0.739;0.679;0;-5.079;1;0.0373;0.000424;0.0187;0.389;0.786;127.487
;All I Want - Sunship Radio Edit;Mis-Teeq;207400;0.795;0.919;9;-3.07;0;0.0835;0.37;0.00863;0.189;0.96;134.079
;Promise;Jagged Edge;246720;0.751;0.568;5;-5.431;0;0.0872;0.136;0;0.0288;0.646;128.002
;Have You Ever;S Club 7;201533;0.585;0.702;0;-5.734;1;0.0325;0.538;0;0.216;0.51;139.909
;Only Time;Enya;218546;0.418;0.249;3;-13.744;1;0.0301;0.841;0.661;0.112;0.213;82.803
;There You'll Be;Faith Hill;222120;0.321;0.511;8;-7.77;1;0.0306;0.513;0;0.127;0.17;128.98
;Lovin' Each Day;Ronan Keating;212973;0.541;0.899;1;-6.261;1;0.0633;0.0178;2.95E-06;0.286;0.829;106.676
;Bootylicious;Destiny's Child;207906;0.84;0.835;1;-4.386;0;0.275;0.00281;1.11E-06;0.152;0.637;103.376
;It's the Way You Make Me Feel;Steps;197360;0.573;0.665;8;-5.081;1;0.0239;0.108;2.09E-06;0.095;0.347;105.006
;Heard It All Before;Sunshine Anderson;295826;0.697;0.925;3;-4.209;0;0.216;0.0614;0;0.095;0.678;96.951
;Again;Lenny Kravitz;231666;0.55;0.804;2;-5.218;1;0.0271;0.0148;4.33E-05;0.105;0.789;79.166
;Gotta Get Thru This - D'N'D Radio Edit;Daniel Bedingfield;162333;0.836;0.762;7;-5.044;0;0.0598;0.0826;5.48E-05;0.102;0.941;133.592
;Point Of View - Radio Edit;DB Boulevard;231166;0.676;0.715;6;-6.854;1;0.0287;0.00284;0.0746;0.0685;0.275;129.006
;All For You;Janet Jackson;329933;0.753;0.934;2;-3.011;1;0.0736;0.0174;0.065;0.128;0.73;113.525
;Whole Again;Atomic Kitten;185013;0.747;0.706;4;-4.653;1;0.0413;0.0844;0.00355;0.174;0.567;94.019
;Livin' It Up;Ja Rule;257066;0.874;0.768;6;-4.086;1;0.311;0.0554;0;0.041;0.636;106.095
;Independent Women, Pt. 1;Destiny's Child;221133;0.73;0.602;6;-3.782;0;0.206;0.362;3.69E-06;0.169;0.927;97.954
;Do You Really Like It? - Radio Edit;DJ Pied Piper & The Masters Of Ceremonies;217120;0.847;0.877;2;-5.424;1;0.0493;0.124;0;0.148;0.764;131.044
;I'm Real (feat. Ja Rule) - Murder Remix;Jennifer Lopez;262133;0.708;0.587;11;-7.93;0;0.151;0.273;0;0.0718;0.554;83.46
;Love;Musiq Soulchild;304666;0.569;0.385;1;-9.919;0;0.0499;0.342;0;0.0876;0.339;99.738
;21 Seconds;So Solid Crew;302826;0.607;0.637;1;-11.072;1;0.241;0.0191;0;0.124;0.818;137.03
;Eternity;Robbie Williams;302760;0.469;0.316;10;-8.106;1;0.0265;0.504;6.04E-06;0.0919;0.199;77.967
;Romeo;Basement Jaxx;217493;0.713;0.829;2;-4.171;1;0.0491;0.00769;0.00203;0.139;0.844;126.853
;Southern Hospitality (Featuring Pharrell);Ludacris;300933;0.623;0.896;0;-4.719;1;0.247;0.035;0;0.0941;0.613;95.158
;Rise;Gabrielle;219093;0.558;0.481;8;-9.487;1;0.026;0.315;8.83E-06;0.09;0.631;144.673
;Ride Wit Me;Nelly;291781;0.85;0.7;7;-6.49;1;0.0478;0.0616;1.80E-06;0.244;0.722;101.875
;I'm a Thug;Trick Daddy;254400;0.933;0.561;11;-5.961;1;0.122;0.0275;0;0.102;0.586;139.976
;Sing;Travis;228800;0.33;0.905;4;-5.047;1;0.0497;0.000233;8.14E-06;0.0712;0.259;163.142
;Izzo (H.O.V.A.);JAY-Z;240626;0.618;0.844;1;-4.051;0;0.342;0.0178;0.000126;0.0634;0.697;84.411
;Out Of Reach;Gabrielle;196986;0.51;0.48;11;-6.567;1;0.0452;0.503;0;0.106;0.496;182.862
;Heaven Is a Halfpipe (If I Die);OPM;257426;0.743;0.894;8;-6.886;1;0.0349;0.0755;0.00283;0.367;0.77;95.9
;Crazy;K-Ci & JoJo;262773;0.68;0.644;0;-4.507;1;0.0258;0.084;0;0.549;0.484;116.097
;It's Been Awhile;Staind;264706;0.509;0.774;6;-4.054;1;0.0338;0.00189;0.000549;0.143;0.0824;116.529
;No More (Baby I'ma Do Right);3LW;263440;0.721;0.723;2;-7.08;0;0.0631;0.102;4.40E-06;0.0651;0.761;88.933
;Differences;Ginuwine;265533;0.562;0.594;3;-4.578;0;0.0558;0.318;0;0.311;0.423;62.876
;Gone;*NSYNC;292000;0.699;0.403;11;-8.564;0;0.0614;0.421;0;0.126;0.5;113.922
;Hanging By A Moment;Lifehouse;216360;0.537;0.858;1;-4.903;1;0.0349;0.000966;0;0.0812;0.502;124.599
;Dilemma;Nelly;289160;0.727;0.552;2;-8.074;0;0.14;0.227;0.000164;0.198;0.607;168.189
;Without Me;Eminem;290320;0.908;0.669;7;-2.827;1;0.0738;0.00286;0;0.237;0.662;112.238
;Complicated;Avril Lavigne;244506;0.585;0.776;5;-5.898;1;0.0459;0.0572;7.74E-06;0.3;0.427;77.987
;A Thousand Miles;Vanessa Carlton;237493;0.56;0.825;11;-3.862;1;0.0379;0.323;0;0.161;0.268;94.931
;Wherever You Will Go;The Calling;208600;0.558;0.719;2;-5.113;1;0.0267;0.0367;0;0.115;0.371;112.027
;Underneath Your Clothes;Shakira;224066;0.616;0.597;8;-5.328;1;0.0415;0.691;0;0.104;0.362;165.508
;Underneath It All;No Doubt;302720;0.729;0.731;4;-4.822;1;0.0684;0.232;1.57E-06;0.391;0.839;138.202
;Addictive;Truth Hurts;226440;0.701;0.677;11;-6.591;0;0.147;0.0737;0.000162;0.187;0.367;99.271
;I Know What You Want (feat. Flipmode Squad);Busta Rhymes;324306;0.648;0.759;6;-4.315;1;0.306;0.0142;0;0.648;0.518;85.996
;'Till I Collapse;Eminem;297786;0.548;0.847;1;-3.237;1;0.186;0.0622;0;0.0816;0.1;171.447
;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];Diddy;285586;0.713;0.471;1;-7.392;0;0.483;0.421;0;0.0308;0.779;199.764
;When You Look At Me - Radio Edit;Christina Milian;222546;0.955;0.839;3;-3.399;0;0.127;0.0934;0.000175;0.099;0.825;108.955
;Die Another Day;Madonna;276360;0.792;0.797;0;-5.166;0;0.0901;0.062;0.00325;0.0896;0.491;123.993
;I'm Gonna Be Alright (feat. Nas);Jennifer Lopez;172240;0.718;0.69;10;-4.382;0;0.265;0.106;0;0.271;0.774;93.401
;If I Could Go! (feat. Lil' Mo & Sacario);Angie Martinez;244466;0.583;0.643;9;-7.486;0;0.355;0.171;0;0.0395;0.7;195.685
;In the End;Linkin Park;216880;0.556;0.864;3;-5.87;0;0.0584;0.00958;0;0.209;0.4;105.143
;The Ketchup Song (AserejÃ©) - Spanglish Version;Las Ketchup;213973;0.607;0.923;1;-6.777;1;0.0948;0.0193;1.10E-06;0.0924;0.868;184.819
