Id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
;Char;Crystal Castles;188333;646;837;6;-6.615;1;134;18;0.0403;316;0.32;100.04
;Look Alive;Rae Sremmurd;228562;782;572;4;-7.467;0;0.0385;0.0516;0.0;0.33;237;120.021
;Please Stop Making Fake Versace;Father;186096;735;0.4;1;-12.766;1;102;282;125;0.0811;326;129.004
;Milly Rock;2milly;220934;0.45;449;2;-12.037;1;156;0.00791;0.0;173;137;135.45
;Blasé (feat. Future & Rae Sremmurd);Ty Dolla $ign;285240;897;642;2;-8.828;1;0.0534;0.0219;1.31e-06;159;0.27;127.984
;Best Friend;Young Thug;213000;959;598;8;-5.534;1;0.0713;0.0358;0.0;358;424;127.029
;Hercules;Young Thug;280831;742;559;5;-5.876;1;141;0.0324;0.0;0.0987;429;146.923
;Who Be Lovin Me (feat. ILOVEMAKONNEN);Santigold;232880;805;687;9;-7.771;1;0.0458;118;0.0;0.0842;683;119.999
;Check;Young Thug;230693;667;581;0;-5.164;0;323;0.0428;0.0;183;372;110.953
;Poppin' My Collar;Three 6 Mafia;175613;722;823;7;-3.916;1;81;297;0.0;489;855;148.23
;Jumpman;Drake;205879;853;547;1;-7.535;1;194;0.0565;0.0;341;677;142.065
;7/11;Beyoncé;213507;747;705;9;-5.137;0;126;0.0128;0.0;126;571;136.024
;Somebody's Watching Me;Rockwell;237187;777;591;1;-7.431;0;0.0327;135;5.5e-05;126;848;124.111
;Bang That;Disclosure;324541;731;852;11;-6.08;1;0.0476;0.00041;625;358;622;125.008
;I Don't Sell Molly No More;ILoveMakonnen;186122;0.76;402;8;-8.751;1;164;0.00356;0.0;333;69;147.028
;Versace Python;Riff Raff;183000;624;792;10;-5.33;0;0.0473;0.00156;1.54e-06;0.0772;318;139.94
;Monster;Kanye West;378893;621;683;11;-5.619;0;242;0.00243;0.00856;525;0.0891;124.283
;OOOUUU;Young M.A.;234526;0.64;819;7;-4.108;1;455;533;0.0;156;624;166.012
;Return Of The Mack - C & J Street Mix;Mark Morrison;213093;715;833;2;-5.379;1;108;0.00631;0.0;164;607;95.487
;Fantastic Man;William Onyeabor;386160;0.7;756;2;-10.714;1;0.0575;0.00182;711;0.0575;947;114.28
;Right Place Wrong Time;Dr. John;175240;789;494;1;-13.702;1;0.0456;0.0923;0.000408;144;832;104.593
;Azon de ma gnin kpevi;T. P. Orchestre Poly-Rythmo;252547;796;0.86;5;-6.202;0;0.0653;375;0.00457;0.0745;973;129.008
;Odofo Nyi Akyiri Biara;Ebo Taylor;576888;716;957;3;-4.814;1;0.0689;183;58;182;0.93;106.714
;Annie;Neon Indian;241341;0.74;846;2;-6.039;1;0.0808;0.0185;0.0624;254;852;95.995
;The Chase;Future Islands;224480;0.7;0.84;7;-6.227;0;0.0292;0.0638;112;141;745;132.475
;Coming Home;Leon Bridges;215613;514;453;6;-7.062;1;0.0267;456;0.000181;178;532;75.548
;Wishes;Beach House;286960;313;0.77;7;-7.265;1;0.0335;128;0.0787;0.0873;186;74.749
;White Iverson;Post Malone;254769;676;528;7;-8.699;1;0.0366;246;0.0;0.0803;301;130.073
;I Know There's Gonna Be (Good Times);Jamie xx;213622;532;596;11;-9.912;0;187;0.12;0.0;504;486;119.296
;Loud Places;Jamie xx;283067;646;629;8;-10.775;0;0.0427;0.00426;277;122;176;109.013
;L$D;A$AP Rocky;238307;598;252;2;-15.086;1;0.0647;193;138;0.0992;0.0359;120.06
;Dopeman;Vince Staples;113373;754;442;5;-8.873;0;127;0.0174;9.4e-05;0.0622;599;148.04
;California Nights;Best Coast;311360;294;786;2;-3.626;1;0.0378;0.000392;865;272;136;81.108
;Baby;Ariel Pink's Haunted Graffiti;287427;622;253;2;-14.36;1;0.0331;435;471;0.0941;328;92.584
;Ain't No Love In The Heart Of The City - Single Version;"Bobby ""Blue"" Bland";225347;559;656;9;-8.699;0;0.0469;257;0.000171;0.2;671;79.638
;Fail to Cry;Yacht Club;293646;0.54;945;9;-6.64;1;0.0406;0.000145;753;667;0.87;92.995
;Evil Friends (feat. Danny Brown) - Jake One Remix;Portugal. The Man;232251;793;0.7;0;-6.641;0;0.0572;273;0.0;174;887;140.058
;Ikimiz Bir Fidaniz - Baris K Edit;Umit Aksu Orkestrasi;223720;549;715;1;-11.164;1;0.0633;374;3.5e-06;0.17;785;82.118
;Sentimental Trash;Sweet Valley;186397;557;607;0;-10.088;1;0.0578;0.00266;771;0.33;259;73.061
;Get Away;CHVRCHES;279240;597;444;2;-8.39;0;0.03;0.000546;51;335;361;120.074
;Look At Wrist;Father;213786;879;512;0;-7.83;1;0.0775;0.00781;1.45e-05;134;277;127.95
;Our Love;Caribou;334173;726;497;10;-10.742;0;0.0433;125;0.89;104;472;125.004
;I Ain't Trippin off Nothin;Ezale;134062;857;831;2;-4.664;1;0.0995;0.00158;0.0;154;251;106.059
;They Don't Know - Original Mix;Disciples;330920;807;778;0;-5.485;1;0.0399;0.0132;666;109;797;120.001
;Sabali;Amadou & Mariam;196627;596;639;0;-6.546;1;0.03;783;569;331;197;124.012
;Spooky;Dusty Springfield;155133;683;708;4;-6.852;0;0.0289;518;2.08e-05;175;967;106.446
;Pick Up The Pieces;Average White Band;239908;768;853;10;-5.915;0;0.0427;0.0548;0.13;0.0188;887;107.234
;Have Love Will Travel;The Sonics;160400;506;948;10;-5.626;1;105;727;0.0;0.0904;936;130.195
;Capitol;TR/ST;293533;457;918;11;-5.295;0;0.0471;0.000313;0.000215;769;297;105.018
;Uncast Shadow Of A Southern Myth;Parquet Courts;386760;468;0.58;7;-8.131;1;0.0278;0.34;821;0.0737;324;76.27
;I Shall Be Released - Remastered;Nina Simone;232453;537;447;9;-8.261;1;0.0289;0.47;1.86e-05;0.0519;549;84.362
;Words I Don't Remember;How To Dress Well;378253;515;217;3;-13.382;0;0.0351;855;463;598;194;80.015
;To The Top;Twin Shadow;196933;429;725;2;-6.156;1;0.0371;0.00502;1.54e-05;266;174;82.925
;Them Changes (feat. Flying Lotus & Kamasi Washington);Thundercat;187210;791;0.58;8;-8.377;1;0.0588;555;0.00155;116;733;81.678
;Aquafina (feat. GoldLink & Chaz French);Falcons;221350;711;705;10;-6.248;0;252;186;0.0;148;403;144.053
;Hot Blur;How Sad;201049;683;824;1;-8.569;0;222;0.0249;627;0.0533;921;154.008
;Summer Madness;Kool & The Gang;257867;309;325;6;-16.4;0;0.0366;0.0108;854;0.0742;0.46;175.88
;The Payback;James Brown;460400;867;733;10;-7.54;0;237;193;0.000219;749;761;97.835
;I'm In Love;Fool's Gold;275533;619;734;5;-9.366;0;0.0343;0.0192;263;0.0771;853;106.034
;I Need You Tonight;Punkin Machine;429897;898;0.5;1;-11.089;1;0.0571;0.00776;292;0.0771;868;122.281
;Everybody Likes Something Good;Ify Jerry Crusade;206240;589;745;7;-8.109;1;76;0.17;0.000406;376;0.76;99.407
;Dadje Von O Von Non;Gnonnas Pédro;234987;606;668;5;-9.168;0;0.0729;0.0221;1.65e-05;0.0527;958;158.859
;Sugah Daddy;D'Angelo;302840;786;547;1;-11.416;1;262;0.0397;272;0.0378;0.68;92.603
;International Players Anthem;Swishahouse;321933;734;548;11;-9.682;1;386;0.0213;0.0;512;0.72;128.289
;Swerve;ILoveMakonnen;268421;812;676;1;-4.502;1;0.0491;0.0454;0.0;0.0929;399;114.047
;Look At Wrist;Father;213246;876;606;0;-5.471;1;0.0645;0.00672;1.06e-05;0.14;249;127.975
;Let It Happen;Tame Impala;467587;601;873;1;-5.866;0;0.0448;0.00488;0.0365;113;566;124.997
;My Way (feat. Monty);Fetty Wap;213053;748;741;6;-3.103;1;0.0531;0.00419;0.0;147;533;128.077
;Walk;Kwabs;214150;615;814;9;-3.903;0;0.0677;0.17;0.0;218;601;144.005
;The Magnificent Seven - Remastered;The Clash;333520;799;789;0;-8.208;1;0.0396;0.0604;0.0;0.0338;833;116.081
;NOBO;Tijuana Panthers;247390;398;776;9;-7.388;0;0.0374;0.0571;0.0172;303;689;110.815
;The Gaudy Side of Town;Gayngs;427227;685;423;11;-9.031;0;0.0475;716;518;0.0765;649;138.034
;U Mad;Vic Mensa;299799;706;581;9;-6.492;1;55;0.0151;0.0;368;463;134.009
;Slumlord;Neon Indian;315595;0.63;0.98;1;-4.914;1;59;228;0.00661;487;805;108.009
;Leave A Trace;CHVRCHES;237480;0.57;736;9;-5.822;1;0.0844;17;5.74e-05;178;267;99.86
;Willing & Able;Disclosure;292760;525;643;5;-6.874;0;816;247;0.0;106;943;199.727
;White Girl;Shy Glizzy;236760;698;793;1;-5.332;0;105;123;0.0;0.0805;0.46;129.948
;Maneuvering;ILoveMakonnen;213375;763;773;0;-4.722;1;0.0533;0.00705;32;772;347;130.025
;Be My Baby;The Ronettes;160907;511;769;4;-7.032;1;42;181;0.0;0.0921;814;129.657
;Why Don't They Let Us Fall in Love;The Ronettes;159253;506;813;4;-5.78;1;0.0392;378;0.0293;276;855;108.212
;Will You Love Me Tomorrow;The Shirelles;162040;513;494;0;-5.072;1;0.0315;677;6.43e-05;143;521;135.894
;One Fine Day;The Chiffons;126827;251;868;1;-2.685;1;128;488;7.34e-06;818;587;177.125
;He's So Fine - 2000 Digital Remaster;The Chiffons;111270;559;633;7;-3.265;1;0.0329;487;0.0;164;842;72.496
;Then He Kissed Me;The Crystals;158685;431;678;4;-7.945;1;0.0365;0.7;6.37e-06;199;632;135.919
;It's My Party;Lesley Gore;142333;683;0.71;9;-7.445;1;114;403;0.0;86;0.93;128.181
;Please Mr. Postman;The Marvelettes;149440;0.78;599;2;-10.251;1;0.0329;656;0.0;129;967;121.198
;Fiesta - Remix;Bomba Estéreo;196352;614;907;4;-2.536;0;143;0.00904;0.000131;0.36;354;122.906
;Queen's Speech 4;Lady Leshurr;196615;661;531;7;-10.113;0;548;141;0.0;136;657;93.287
;I Know There's Gonna Be (Good Times);Jamie xx;213622;564;594;11;-9.912;0;155;119;0.0;536;489;89.394
;With That (feat. Duke);Young Thug;202533;751;597;9;-6.59;0;125;0.0659;0.0;0.0881;168;123.997
;Hotline Bling;Drake;267024;896;623;2;-8.008;1;0.0571;0.00257;0.000258;39;564;134.962
;679 (feat. Remy Boyz);Fetty Wap;196693;618;717;7;-5.738;1;318;0.00256;0.0;625;601;190.05
;Trap Queen;Fetty Wap;222093;746;873;7;-3.803;1;128;0.0244;0.0;354;808;148.075
;No Type;Rae Sremmurd;200080;888;483;6;-7.797;1;154;13;4.85e-06;0.0926;221;125.008
;Chasing Heaven;Bassnectar;318750;443;645;6;-6.24;1;0.0515;0.0127;952;122;138;128.044
;Speakerbox (feat. Lafa Taylor);Bassnectar;282273;507;934;8;-2.325;0;188;0.00943;0.0018;222;472;175.954
;Movin' Bass - GTA Remix;Rick Ross;253773;695;912;10;-3.331;0;193;0.000758;0.000103;302;612;160.043
;Danger and Dread;Brown Bird;226333;462;449;0;-9.271;0;0.0916;674;0.000632;0.0993;748;209.686
;Midnight City;M83;241440;526;712;11;-6.525;0;0.0356;0.0161;0.0;179;299;105.009
;Water No Get Enemy - Edit;Fela Kuti;591707;645;924;10;-7.697;0;0.0569;107;0.0266;0.0982;886;90.852
;Pyramids;Frank Ocean;592920;405;647;5;-6.109;0;0.0482;0.0134;7.62e-05;819;204;131.952
;Hercules Theme;Hercules & Love Affair;269817;735;641;7;-6.177;0;0.0284;0.0219;0.89;168;886;105.993
;Rewind;Kelela;238146;746;416;11;-6.607;1;0.0482;0.0452;7.77e-05;0.12;216;132.036
;My Sub (Pt. 2: The Jackin') - Album Version (Edited);Big K.R.I.T.;251093;547;643;1;-8.904;1;227;0.0551;0.0;267;187;143.064
;Kush;Lil Wayne;221960;634;609;6;-8.982;1;172;0.0224;0.0;99;659;83.021
;9;Willow;253800;607;488;8;-8.704;1;193;244;0.000177;113;0.16;77.021
;Magnets;Disclosure;199246;704;647;10;-7.874;0;171;0.0668;1.93e-06;101;694;92.002
;Don't Move;Phantogram;258187;558;642;5;-5.206;0;0.0321;7.19e-05;0.00746;201;492;99.977
;Pussy;Brazilian Girls;248053;698;804;4;-6.616;1;111;0.0227;0.0599;566;786;92.001
;Black Mags;The Cool Kids;191160;772;582;4;-5.96;0;309;103;6.61e-05;323;564;172.03
;Stay Fly - Explicit Album Version;Three 6 Mafia;238467;788;864;11;-5.767;1;0.0335;0.0956;0.0;335;678;133.295
;Sippin On Some Syrup;Three 6 Mafia;261973;944;839;11;-4.141;1;108;0.00919;0.0;0.0921;891;136.019
;Poppin' My Collar - feat. Project Pat - Explicit;Three 6 Mafia;176880;729;795;7;-4.579;1;144;354;0.0;536;853;146.747
;Sittin' Sidewayz - feat. Big Pokey Explicit;Paul Wall;228933;721;621;1;-4.378;1;306;0.00469;0.0103;199;578;159.967
;Gold and a Pager;The Cool Kids;227587;798;751;1;-6.335;1;263;0.00102;3.22e-06;0.0271;482;162.003
;Smell Yo D*ck;Riskay;224653;851;387;0;-13.584;1;334;0.0512;0.0;0.0996;365;116.629
;Don't Wanna Lose;Ex Hex;147467;0.34;805;7;-3.397;1;0.0387;0.0252;0.0;138;654;167.922
;Endless Rhythm;Baio;194066;767;891;4;-6.426;1;0.0402;221;0.0723;0.0935;779;122.026
;Demon;Shamir;220093;772;635;0;-8.412;1;0.0536;937;18;0.0961;592;168.039
;Nothing Ever Happened;Deerhunter;350920;259;847;2;-6.298;1;0.0332;2.13e-05;823;133;682;150.162
;Oh My Darling Don't Meow (Just Blaze Remix);Run The Jewels;226747;633;0.77;10;-6.954;0;327;284;0.0;308;324;149.97
;River;Ibeyi;252095;654;292;2;-12.977;1;474;0.0962;0.0031;106;111;153.547
;The Buzz (feat. Mataya & Young Tapz);Hermitude;221787;726;583;0;-6.434;0;0.23;334;0.00135;122;0.48;140.943
;All Day;Kanye West;310907;855;638;9;-4.968;0;143;0.0648;0.0;162;433;122.967
;Blood On the Money;Future;282253;704;431;8;-7.893;1;131;185;0.0972;249;349;146.003
;River;Leon Bridges;238560;658;179;8;-10.866;1;0.0448;689;0.0;0.17;197;128.128
;Trust Me Danny;ILoveMakonnen;244204;502;833;2;-4.982;1;0.0638;0.000472;43;352;593;142.053
;Big Rings;Drake;217707;0.79;676;8;-6.432;0;271;0.00157;0.0;0.25;314;132.002
;Annie;Neon Indian;242188;738;849;2;-6.246;1;0.0822;0.0233;0.0317;309;863;95.987
;Acamar;Frankey;500550;777;739;9;-9.089;1;39;0.00212;868;109;201;119.992
;Alright;Kendrick Lamar;219333;791;779;7;-5.972;1;235;0.0734;0.0;0.0832;581;110.037
;Know Yourself;Drake;275840;735;0.41;11;-8.735;0;0.2;0.19;0.0;341;0.16;114.812
;Deicide;Crystal Castles;294360;556;582;6;-10.65;0;0.0357;188;911;229;516;131.023
;Coming Home;Leon Bridges;206387;427;465;6;-6.595;1;0.0291;461;5.52e-05;154;462;112.137
;Hercules Theme 2014;Hercules & Love Affair;176361;563;0.81;8;-9.158;1;0.0372;0.0111;2.71e-05;142;767;99.996
;Forever;Majid Jordan;256320;753;708;6;-7.217;0;223;0.0496;0.0123;0.0872;445;115.004
;Next to You;Poolside;262979;785;764;4;-5.245;0;0.04;149;813;201;961;93.984
;Papi Pacify;FKA twigs;293910;557;608;5;-7.657;0;0.0862;0.0682;0.0263;196;211;109.67
;Magnolia;Young & Sick;235693;594;0.42;4;-8.467;0;31;489;0.00452;0.0833;311;140.04
;Dark Matter;Feathers;237120;644;758;5;-7.859;1;0.0458;0.000259;0.0708;0.0726;752;108.99
;Callie (feat. Vic Mensa);Donnie Trumpet;185437;704;657;10;-7.172;0;0.35;217;0.000118;0.0888;804;150.058
;Wu-Tang Forever;Drake;217693;849;408;6;-8.67;0;284;0.0472;0.0;101;337;99.876
;Fame (2007 Remastered);David Bowie;260947;628;568;10;-10.695;1;0.14;228;0.0183;0.0906;618;191.404
;We Dem Boyz;Wiz Khalifa;224933;717;862;8;-4.736;1;54;0.00689;0.0;321;512;130.021
;Ego Free Sex Free;Autre Ne Veut;243480;584;0.68;9;-4.685;0;0.0524;0.0109;1.03e-06;129;326;104.89
;Her Fantasy;Matthew Dear;374133;586;806;1;-9.542;1;0.0548;0.0246;0.000167;353;207;110.325
;Little People (Black City);Matthew Dear;560600;648;0.85;1;-6.277;1;0.0439;0.00399;294;0.35;559;112.014
;Confess To Me;Disclosure;250130;807;785;8;-7.928;1;148;37;0.000763;0.18;421;124.051
;Let Me Show You Love;Cut Copy;355881;577;941;10;-4.338;1;0.0422;0.0789;207;342;381;99.995
;New Slaves;Kanye West;256093;0.5;593;1;-4.34;1;0.0898;141;6.21e-06;0.0969;325;68.456
;Sexy Socialite;Chromeo;336160;804;708;10;-5.099;0;0.0394;108;0.0636;0.0528;966;141.996
;Okay;Holy Ghost!;273853;787;658;8;-5.379;0;0.0324;0.0108;0.0152;0.13;867;110.983
;Weight;Mikal Cronin;230230;246;784;5;-5.004;1;0.0529;0.0107;5.71e-06;0.0825;189;153.027
;When A Fire Starts To Burn;Disclosure;284027;882;743;7;-6.972;1;141;0.0107;0.00152;327;678;123.97
;When A Fire Starts To Burn - Midland Remix;Disclosure;308527;628;824;0;-7.983;1;112;0.0315;543;0.0999;0.86;122.01
;Fake Tales Of San Francisco;Arctic Monkeys;179947;451;0.79;11;-4.261;0;0.0461;0.00807;0.0;0.0394;674;127.142
;Billie Holiday;Warpaint;405027;518;385;9;-11.125;0;0.0286;0.64;0.000536;0.0931;264;100.878
;Goody Two Shoes;Duck Sauce;269867;774;901;9;-5.398;0;216;0.0414;4.84e-06;873;768;128.024
;The Wire;HAIM;245293;547;635;2;-5.569;1;137;0.0127;5.01e-06;0.0585;496;113.678
;Awake;Tycho;283636;552;878;1;-5.767;1;0.0353;0.0585;892;0.0746;603;176.057
;Man I Need;Jagwar Ma;216827;542;946;10;-6.307;1;0.0505;0.00856;5.38e-06;386;389;108.496
;N.O. Bounce;Big Freedia;246521;695;0.94;7;-2.935;1;127;19;0.8;623;337;100.262
;Now Is Not The Time;CHVRCHES;224720;633;492;2;-7.672;1;0.0524;0.0488;0.00047;0.0758;357;114.845
;No Rest For The Wicked;Lykke Li;222719;312;445;11;-7.202;0;0.0305;365;0.0038;0.13;308;97.967
;Holdin On;Flume;154414;0.43;436;8;-4.816;1;119;0.17;0.0;128;0.22;90.053
;Rocking Chair;The Districts;230693;0.19;908;0;-4.679;1;111;0.0346;0.0369;241;181;148.951
;Marriage;Gold Panda;281360;312;907;7;-6.571;1;229;0.0361;618;363;122;120.286
;Ride On / Right On;Phosphorescent;224907;539;582;7;-7.414;1;0.0328;0.00818;0.0717;0.15;249;95.07
;GodLovesUgly;Atmosphere;230200;698;878;8;-307;1;314;613;1.61e-05;518;816;182.126
;New York City;Christopher Owens;195200;476;818;2;-7.933;1;0.0318;0.00275;757;279;745;159.089
;Moving to the Left;Woods;322544;568;936;0;-6.365;1;0.0504;64;0.00099;148;792;150.067
;All These Things That I've Done;The Killers;301573;558;0.74;6;-6.22;1;0.0448;0.00192;8.97e-06;129;214;118.293
;Junk of the Heart (Happy);The Kooks;187253;604;894;2;-5.0;1;37;0.0212;0.0;0.0299;893;145.014
;When The Night Falls - feat. Solange Knowles;Chromeo;224267;718;921;5;-3.978;0;0.0375;0.0516;0.0473;315;898;121.922
;Mercy;Kanye West;332453;737;545;6;-8.536;0;362;0.0855;9.32e-05;153;438;140.086
;Don't You Evah;Spoon;214333;769;712;8;-4.692;0;29;0.0293;2.12e-06;103;948;120.975
;We Exist;Arcade Fire;343784;567;506;1;-8.742;1;0.0264;0.00731;205;103;354;116.392
;Le Goudron (Edit);YACHT;213059;817;588;7;-6.603;1;0.0399;0.000467;1.51e-06;0.0911;448;119.934
;Double Bubble Trouble;M.I.A.;179240;767;912;1;-1.157;1;54;0.0411;402;0.0288;496;144.084
;Careless;Dusky;391686;0.77;895;7;-8.102;0;0.0488;0.000195;897;0.0455;678;120.986
;Look at You;George McCrae;279800;712;0.77;10;-13.187;0;0.0345;827;548;0.0726;973;106.963
;How Did I Get Here;ODESZA;131250;706;577;0;-6.226;0;0.0299;0.39;692;407;385;96.056
;Black Out Days;Phantogram;227160;542;799;4;-3.641;0;0.0354;0.00471;0.0161;0.0814;426;92.215
;Bang! Bang!;Joe Cuba;248213;583;776;3;-5.293;1;0.0661;827;3.81e-05;298;782;126.536
;Every 1's A Winner - Single Version;Hot Chocolate;289267;727;548;10;-7.393;1;0.0291;0.0628;526;133;0.93;107.826
;Unbound;Cathedrals;201602;0.45;782;11;-6.769;1;0.0364;0.00919;101;123;209;173.954
;Operate;ASTR;215518;602;764;10;-4.897;0;0.0435;0.0027;0.0053;0.0822;468;105.997
;Blood On The Leaves;Kanye West;359800;415;681;2;-4.104;0;189;385;0.0;101;372;171.893
;Come Save Me;Jagwar Ma;315000;614;838;10;-6.896;1;28;0.0304;0.000297;166;584;127.971
;Hannah Montana;Migos;212712;901;744;0;-3.484;1;283;105;7.79e-06;0.0964;606;135.95
;High School Lover;Cayucas;218733;0.7;986;0;-4.403;1;0.0573;359;0.0221;963;0.64;123.033
;They Come in Gold;Shabazz Palaces;202710;583;843;1;-7.416;0;409;119;0.0;602;422;108.066
;Tides of Neptune;Virgo;215000;0.6;586;7;-9.414;1;0.0296;0.0112;535;115;193;129.952
;Cocaine Model;ZHU;255094;786;706;9;-6.212;0;0.0537;251;213;142;318;120.011
;Light House;Future Islands;287147;512;821;9;-7.442;0;0.0334;0.0696;0.33;0.0998;396;149.988
;Pass The Dutchie;Musical Youth;199973;791;664;7;-5.713;1;0.0831;403;0.0;0.61;0.96;149.939
;Words I Don't Remember;How To Dress Well;378253;533;213;3;-13.437;0;0.0342;849;565;449;196;80.004
;I Would Die 4 U;Prince;178987;731;0.75;2;-10.457;1;0.0321;0.0862;0.000388;202;648;135.406
;Bless My Soul;Nightmares On Wax;356560;853;532;1;-13.443;1;121;0.000156;0.88;0.0643;499;99.989
;Heaven And Hell Is On Earth;20th Century Steel Band;313147;674;501;2;-12.907;0;0.0579;0.0398;0.000123;0.0818;567;107.363
;Upper Echelon;Travis Scott;243800;788;617;2;-4.516;1;0.0651;0.0448;0.0;88;0.13;122.065
;Flying High (Part 1);Cloud One;384907;745;857;0;-5.754;1;0.0393;0.000686;0.2;22;946;115.945
;Go;Grimes;240760;621;796;8;-6.179;0;0.0327;0.0107;187;0.0719;288;140.012
;Spill The Wine;Eric Burdon;242067;818;528;2;-10.666;0;0.0716;377;0.0;131;895;120.368
;Got To Give It Up (Part 1);Marvin Gaye;247800;856;874;11;-8.037;0;0.0401;0.0988;0.000472;339;0.91;122.416
;Never Gonna Give You Up;Barry White;286315;614;857;2;-8.85;0;0.0859;0.0913;0.0;69;944;85.125
;Sanctified;Rick Ross;289627;729;527;9;-6.338;1;0.0708;0.0778;0.0;382;0.23;126.012
;It #1;Ty Segall;151853;0.42;776;11;-8.827;1;0.0451;0.0608;0.0107;248;416;114.217
;Dangerous (feat. Joywave);Big Data;280427;757;578;0;-3.886;1;0.0386;11;0.00672;127;952;102.96
;Counting;Autre Ne Veut;221840;618;538;2;-5.828;0;0.0319;0.0249;1.37e-05;352;299;79.925
;You're the Best;Wet;175333;657;393;0;-7.667;1;0.0367;642;4.03e-05;0.14;266;99.946
;Estrelar;Marcos Valle;313493;879;495;7;-10.584;0;0.0765;538;0.000333;0.0827;797;102.652
;Hold On We're Going Home;ASTR;190582;496;0.54;7;-7.121;0;0.0324;0.0172;0.0367;0.13;172;131.337
;Uncle ACE;Blood Orange;256693;742;945;5;-6.445;1;0.0428;0.0639;165;131;748;112.977
;San Francisco;Foxygen;227907;623;0.65;10;-7.953;1;0.0274;245;0.000913;146;884;116.74
;Stay High - Habits Remix;Tove Lo;258387;736;0.68;4;-7.036;0;0.0361;0.00101;897;0.0922;0.0793;120.995
;Crosstown Traffic;Jimi Hendrix;139267;482;0.96;0;-5.269;0;126;254;2.43e-06;294;539;113.263
;Ziggy Starfish (Anxiety Raps) [feat. Gold Panda];Open Mike Eagle;175357;683;0.86;7;-7.317;1;0.31;0.0117;0.000379;356;317;143.311
;Marijuana;Chrome Sparks;181149;697;655;1;-9.781;0;0.15;0.0626;774;353;436;86.969
;Crown Violet - Bonus Track;Azizi Gibson;187617;631;626;9;-7.747;0;114;479;0.0;108;104;107.007
;Glad I Met You;D. Gookin;202349;747;722;8;-7.33;1;0.0349;0.0957;0.000519;208;0.56;100.215
;Dancing In The Rain;Blu;265827;569;0.74;0;-6.235;1;283;251;2.68e-06;134;709;180.559
;You Know I'm No Good - Ghostface UK Version;Amy Winehouse;202733;674;832;9;-3.593;1;0.0616;29;5.56e-06;0.0927;807;102.833
;Kill V. Maim;Grimes;246007;578;947;11;-2.431;0;36;0.00744;0.0816;105;452;134.034
;Life Round Here;James Blake;217120;586;658;10;-9.71;0;0.0457;449;368;109;276;144.933
